;price;odometer
454;15400;132000
455;10800;80300
456;5900;117000
457;14495;103117
458;8200;261918
472;7495;150282
473;12875;96200
474;15000;110812
475;9995;106169
476;5000;181072
477;16995;69699
478;3995;123844
479;11495;54607
480;32595;24215
481;1;22300
482;14599;108349
483;11798;115007
484;19744;112865
485;19577;31449
486;2880;153117
487;25777;35102
488;13377;120086
489;20757;49336
490;18797;24515
491;21688;16424
493;2500;200100
494;2950;177100
496;6495;130535
497;9995;85111
498;12795;140776
499;9795;94921
500;22795;137491
501;9795;106696
502;11450;79187
503;17495;82882
504;9995;101172
505;32795;80141
506;27795;63380
507;6495;111060
508;11495;118381
509;8995;166594
510;12145;30853
511;7995;132920
512;29795;57645
513;22795;54322
514;7995;134561
515;36455;13624
516;32475;61774
517;36795;12621
518;10595;59645
519;10295;154852
520;23995;64438
521;13795;64377
522;20945;31034
523;22795;27737
524;11495;26473
525;22495;54489
526;12795;66747
527;6495;127599
528;8375;106745
529;10795;96293
530;36495;88244
531;15495;27730
532;17495;62751
533;18795;85961
534;21295;159703
535;18995;170909
536;4895;138367
537;18995;95726
538;16795;71543
539;18495;148411
540;7750;200960
541;19995;17082
542;10295;65731
543;18995;39238
544;25795;190330
545;24495;75186
546;18295;50824
547;10795;119433
548;27795;80498
549;18795;47639
550;12795;51197
551;26795;83459
552;22795;38446
553;17495;48201
554;6275;116400
555;5000;241100
556;57900;122075
557;7900;230000
558;13000;27698
559;8495;79420
560;9795;71843
561;21795;41859
562;20795;42866
564;6000;207500
565;20500;40000
566;20000;80665
567;6250;127365
569;1300;178784
570;12995;22722
571;13500;45644
572;31000;55418
573;9595;36780
574;5995;172255
575;23000;9500
577;400;168000
578;9500;101000
579;3050;143000
581;5000;128000
582;19748;97813
583;10381;105393
584;10500;168268
586;7495;85472
588;9495;89923
589;10500;50000
591;3700;132200
592;8795;101224
593;5000;107973
596;6795;76736
597;8795;115059
598;7800;203000
599;39666;88
600;9995;147107
601;8495;131397
602;0;130055
604;8795;123220
606;9555;100245
607;24495;25113
610;28000;44000
611;6000;260000
612;17395;85741
614;13000;65000
615;7000;123500
618;17995;23308
619;15995;108454
620;48000;8813
621;25995;81728
622;25500;24316
623;35500;8500
624;10500;95103
625;15750;11761
626;43995;54428
627;11975;91975
635;41500;800
636;10;75000
637;9890;18500
638;16795;51954
639;5000;254000
640;3883;61558
641;12495;146706
643;28995;75099
646;4795;220287
647;11777;129373
648;6800;147000
649;4499;178000
650;5500;157540
652;17500;36000
653;4975;133748
654;4500;140000
655;43995;35000
656;8000;301000
657;18995;27411
658;24995;90606
662;26995;81766
663;27995;72483
664;35995;46445
665;32995;76305
666;1200;159600
667;14700;69897
668;2000;161000
669;3500;147000
670;21444;113566
671;34555;126346
672;37888;82104
673;5000;67500
674;29888;108098
675;19998;48371
676;33888;116915
677;28888;126528
678;44995;83449
681;29555;91052
682;28888;93140
683;24555;98981
684;28777;89044
685;5995;120000
686;6000;132000
687;5495;120000
689;4500;135000
690;2900;1350000
691;7500;130010
693;3600;126000
694;9995;109000
697;4500;116000
699;900;199349
700;6850;125000
701;5300;87000
702;10500;142000
703;2600;137000
704;9499;152000
705;3995;117000
706;33995;21384
709;9000;97047
710;4200;119000
711;9985;200491
712;9985;200491
715;15995;50928
716;6995;107000
717;500;148500
718;6995;123913
720;6000;105000
721;40000;640000
722;3999;139000
723;4800;261000
726;31990;94526
727;9990;154100
729;11996;88717
730;4996;110305
731;6596;96078
732;6596;91832
733;9396;119635
734;4996;157015
735;5996;74196
736;6596;129636
737;11996;91896
738;9596;97129
739;8596;90439
740;6996;124565
741;8996;116671
742;5996;147351
743;10995;118144
744;18995;127145
745;15995;101782
746;10995;57514
747;22988;34166
748;25995;35603
749;19988;39535
750;20995;56347
751;5995;80689
752;26988;139247
753;11988;111975
754;18995;26688
755;13995;120244
756;15988;69992
757;15995;106658
758;14500;146000
759;5995;138000
760;5995;128000
761;6875;77000
762;13995;100616
763;5995;133000
764;13990;115295
765;17995;72879
766;6995;121000
767;7995;66000
768;10975;111000
769;4995;149000
770;8500;170000
771;8555;126028
772;24995;70403
773;17995;104498
774;6955;141573
775;24995;87934
776;25995;118539
777;19995;38183
778;5995;140531
779;4995;124000
780;14490;80836
781;25995;91682
782;11995;184287
783;32995;104818
784;18995;87912
785;12977;90158
786;9900;79698
788;10988;89969
789;26995;46444
792;17995;100759
793;14995;100879
794;10995;67424
795;25955;31660
796;6900;16000
797;5995;125000
798;4875;91000
799;6995;74000
800;28990;71635
801;8500;153500
802;2800;101000
803;3000;251000
805;0;19718
806;19990;210541
807;29450;41302
808;3500;83000
809;3995;93000
810;7995;101000
811;4995;81000
812;3995;112000
813;36990;21800
814;15995;150217
815;4995;199780
816;8995;140000
817;2500;222000
818;3500;155000
819;8500;124227
820;24285;30905
822;3800;130000
823;3000;239648
824;13500;78000
825;3000;260000
826;25450;53000
827;29490;112150
828;11499;123000
829;8999;102000
830;6499;140000
831;5999;98000
832;10999;121000
833;9499;89349
834;15499;134000
835;9999;170000
836;5499;75000
837;7999;99000
838;10799;74000
839;12499;109000
840;6499;112000
841;8999;124000
842;9499;102000
843;9999;131000
844;11999;93720
845;8999;73000
846;4999;140000
847;7899;127000
848;13999;99000
849;10499;100000
850;950;275200
851;5999;129000
852;10499;106000
853;5899;93000
854;9999;143000
855;18990;105894
856;6999;135000
858;4500;179000
859;9995;108535
860;2800;154081
861;9500;165000
862;15995;117000
863;19995;97000
864;11995;114775
865;11995;121000
866;3999;179590
870;15995;114792
871;12995;162440
872;20990;134794
873;11995;66164
874;13995;204229
875;4995;173329
876;7995;106757
877;13995;104355
878;10995;136876
880;13995;92491
881;8995;130597
882;13995;148972
883;46000;102000
884;16995;159000
885;13995;103162
886;16995;69308
887;10995;120351
888;7950;90952
889;17995;92040
890;15995;90598
891;17495;59993
892;13500;68500
893;24869;54594
895;18990;117508
896;17983;24364
897;14987;89976
898;6500;110031
899;6495;142000
900;4500;180312
901;8995;133000
902;23900;138000
903;2500;148000
904;17995;96631
907;24995;39396
910;5995;96604
911;2000;215775
913;7950;98914
914;4295;175000
915;18995;57566
916;3500;181428
917;3500;165000
918;19990;77755
919;10995;42775
929;22900;54000
931;7900;104353
933;2900;81403
934;5000;84778
935;5000;84778
936;4000;249000
937;17995;24200
938;17750;30294
939;19995;20000
940;1500;202400
941;17900;102489
942;33990;38407
943;32990;22840
944;4500;165000
946;29990;145469
947;24495;10200
948;12499;92750
949;23995;52200
950;6995;123203
951;21495;23000
952;23495;13000
953;15495;30275
954;22760;74785
955;19495;21600
957;16995;37000
958;42995;99879
961;35995;108663
964;15995;84987
965;8995;169989
966;8988;139870
967;11995;124289
968;14555;154237
969;13995;119116
970;22995;97332
971;18555;119772
972;12955;84273
973;9500;90000
975;16900;79000
976;4400;82000
977;1500;98225
978;16995;85375
983;1500;116230
984;4995;162524
985;10995;44000
986;19995;121000
987;14995;141000
988;24995;98332
991;28995;36501
994;33995;81000
995;14995;111000
996;37995;57000
997;23995;14000
998;39995;41000
999;34995;39000
1000;21995;125000
1001;10995;71000
1002;10995;177000
1003;4596;124946
1004;9596;97129
1005;11996;91896
1006;4996;157015
1007;9396;119635
1008;6996;124565
1009;8996;116671
1010;8995;153000
1011;38995;23525
1014;17995;58194
1017;9995;111000
1018;7995;97000
1019;15995;135000
1020;8995;83000
1021;13995;103000
1022;2495;267000
1023;22990;88000
1024;1300;210000
1025;6995;165000
1026;6995;130936
1027;17995;84000
1028;1700;113000
1029;13800;101098
1030;17990;76334
1031;16990;67736
1032;12990;26375
1033;4900;120000
1034;21990;121437
1035;13990;114702
1036;16990;174100
1037;13995;100244
1040;50995;30566
1043;26990;58106
1044;12990;30728
1045;19990;33285
1046;10490;114583
1047;15990;69357
1048;19990;151146
1049;4490;118200
1050;24990;113440
1051;15490;102532
1052;10490;103523
1053;4990;165105
1054;18990;75585
1055;16490;66262
1056;7990;53981
1057;15990;66697
1058;8990;105429
1059;30990;58100
1060;8490;104662
1061;17990;122637
1062;21990;99748
1063;23990;118710
1064;17990;113346
1065;17990;122974
1066;29990;17037
1067;22990;17288
1068;18990;103335
1069;41995;9555
