,price,year,condition,odometer,title_status,transmission,type,split
425,29000,1969,excellent,76000.0,clean,automatic,coupe,0.024361364383062634
427,44200,2020,new,22.0,clean,automatic,pickup,1.9025950980446427
436,49796,2018,like new,19394.0,clean,automatic,offroad,0.19461772658972257
438,6199,2006,excellent,90478.0,clean,automatic,sedan,-1.2655255881303702
439,13750,2004,excellent,71000.0,clean,automatic,pickup,0.4597784161611054
444,6000,1964,good,67000.0,clean,automatic,sedan,0.810419418318487
448,5900,1995,excellent,230000.0,clean,automatic,pickup,0.11483019944932227
449,7995,2005,excellent,151000.0,clean,automatic,truck,1.6463813145273134
454,15400,2009,excellent,132000.0,clean,automatic,pickup,-1.4087363943683933
458,8200,2001,good,261918.0,rebuilt,manual,truck,0.5117067308477539
474,15000,1995,good,110812.0,clean,automatic,truck,-0.31368404995398125
476,5000,2002,excellent,181072.0,clean,manual,hatchback,1.4592535551263612
479,11495,2014,excellent,54607.0,clean,automatic,sedan,-0.11800752697279
482,14599,2004,excellent,108349.0,clean,automatic,SUV,-0.17361838209291494
483,11798,2010,excellent,115007.0,clean,automatic,SUV,-0.9361032149378942
488,13377,2013,excellent,120086.0,clean,automatic,SUV,-0.2775248488109864
489,20757,2016,like new,49336.0,clean,automatic,sedan,-0.8593696135694805
494,2950,2006,good,177100.0,clean,automatic,sedan,0.001807599095476614
554,6275,2011,excellent,116400.0,clean,automatic,sedan,-0.3070522570404309
555,5000,2003,good,241100.0,clean,manual,truck,-1.3057267147947078
556,57900,2004,excellent,122075.0,clean,automatic,truck,-1.7801858032583833
557,7900,2008,excellent,230000.0,clean,automatic,pickup,-1.2654156341738032
564,6000,2000,good,207500.0,clean,manual,truck,-0.932303436238146
565,20500,2015,excellent,40000.0,clean,automatic,sedan,0.6332326372460163
566,20000,2010,excellent,80665.0,lien,manual,wagon,0.05651161614566047
574,5995,2003,excellent,172255.0,clean,automatic,pickup,1.5362298508165269
577,400,2000,fair,168000.0,clean,manual,sedan,-0.18590430418065715
579,3050,2007,excellent,143000.0,clean,automatic,hatchback,-0.5093479438525715
582,19748,2008,good,97813.0,clean,automatic,truck,0.13075913837447284
583,10381,2005,good,105393.0,clean,automatic,truck,-0.25887430414398926
584,10500,2007,good,168268.0,clean,automatic,truck,1.5441252388923996
589,10500,1964,good,50000.0,clean,automatic,truck,-0.28940381027692497
591,3700,2008,good,132200.0,clean,automatic,mini-van,-0.20736211007008065
600,9995,2014,excellent,147107.0,clean,automatic,sedan,1.154770076383855
601,8495,2014,excellent,131397.0,clean,automatic,sedan,-0.14000729988502958
602,0,2012,excellent,130055.0,clean,automatic,sedan,-0.12087087776601717
615,7000,2008,like new,123500.0,clean,automatic,sedan,0.8506867976862662
635,41500,2018,new,800.0,clean,automatic,pickup,-0.6788700523951133
636,10,1993,excellent,75000.0,clean,manual,coupe,-2.4665744384851673
640,3883,2000,excellent,61558.0,clean,automatic,sedan,-1.3573077066702683
647,11777,2004,excellent,129373.0,clean,automatic,pickup,1.8768362507608107
654,4500,2007,good,140000.0,clean,automatic,SUV,-0.8631399237573883
656,8000,2002,good,301000.0,clean,automatic,SUV,-0.03131474965055584
666,1200,2002,excellent,159600.0,clean,automatic,sedan,-1.7925644213084868
667,14700,2016,excellent,69897.0,clean,automatic,sedan,-2.1692996056472515
669,3500,2005,good,147000.0,clean,automatic,SUV,0.2848134901964738
685,5995,2008,good,120000.0,clean,automatic,van,-0.2205708851410374
689,4500,2013,like new,135000.0,clean,automatic,hatchback,-1.5980785952849446
693,3600,2008,excellent,126000.0,clean,automatic,sedan,-0.38861471587341523
697,4500,2012,excellent,116000.0,clean,automatic,sedan,-0.8356571829823379
699,900,2007,fair,199349.0,clean,manual,hatchback,-0.6971610613688312
703,2600,2008,good,137000.0,clean,automatic,SUV,0.7067780492884501
704,9499,2012,good,152000.0,clean,automatic,SUV,1.1146505858528915
710,4200,2007,good,119000.0,clean,automatic,truck,2.325477339370667
716,6995,2013,good,107000.0,clean,automatic,sedan,0.5707372997851345
717,500,2003,fair,148500.0,missing,automatic,sedan,0.030072495489179188
718,6995,2009,excellent,123913.0,clean,automatic,SUV,-0.19721011013445702
720,6000,2004,good,105000.0,clean,automatic,truck,-0.7642848254905066
721,40000,2011,good,640000.0,clean,manual,truck,0.7852058749961703
722,3999,2009,good,139000.0,clean,manual,SUV,0.7344039190238059
723,4800,2002,good,261000.0,clean,automatic,truck,0.6014920214054784
730,4996,2004,good,110305.0,clean,automatic,wagon,0.30527436666869406
738,9596,2015,good,97129.0,clean,other,sedan,1.0447769319026114
740,6996,2011,good,124565.0,clean,automatic,wagon,0.5783462556369142
742,5996,2008,good,147351.0,clean,automatic,SUV,-0.8790303400010702
796,6900,2004,good,16000.0,rebuilt,automatic,convertible,0.43162091064314506
801,8500,2009,good,153500.0,clean,other,hatchback,0.11182587560873766
802,2800,2003,fair,101000.0,clean,automatic,pickup,-0.8314477000340633
808,3500,2005,good,83000.0,clean,automatic,SUV,1.0179728503944667
815,4995,2006,good,199780.0,clean,automatic,truck,2.5215809999848178
